Paper ID,Authors,Year,Title,MWP Technique,Traditional tests,AU raw,TC MWP Relevance,App Score,App Evidence,Meth Score,Meth Evidence,SigProc Score,SigProc Types,PropC Score,Property Types,Raw Property,IdM Score,Id Methods,Raw IdM,DA Score,Rheo Score,Rheo Models,Rheo Purpose,Reviewer Support,ABK,ABL,Primary,Secondary,Tie-break Used?,Tie-break Reason,Confidence,Rationale,Materials,Geometries
P115,"Syukuriah, S. and Hustim, M. and Tjaronge, W. and Irmawaty, R.",2025,Performance Evaluation of Magnesia-Type Refractory Brick Waste as Complete Replacement for Fine Aggregate and Filler in Asphalt Concrete Wearing Course Mixtures,UT,Marshall mix design / Marshall properties Indirect tensile strength (ITS) Cantabro loss / durability test,"Ultrasonic testing (UT), Marshall mix design / Marshall properties Indirect tensile strength (ITS) Cantabro loss / durability test",Medium,2,conventional-test comparison (Marshall mix design / Marshall properties Indirect tensile strength (ITS) Cantabro loss / durability test); multiple material types (2); RAP/RAS or recycled materials,2,configuration (UT); standard/reference (UT); transducer type (UT); wave type (UT); methodological comment (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,1,0,None,not applicable; no rheological modeling or master-curve construction was performed.,2,"The study demonstrates the use of ultrasonic pulse velocity (UPV) as a non-destructive indicator for comparing AC-WC asphalt mixtures incorporating magnesia-type refractory brick waste versus conventional stone dust. UPV trends were consistent with conventional performance indicators, particularly ITS and Cantabro loss.","This paper is useful for comparison with UT studies where UPV is used as an indicator of compactness, internal integrity, and durability rather than as a direct modulus or rheological measurement.",Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Application Focus,Medium,"App=2, Meth=2, DA=1 (SigProc=0, PropC=0, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P20,"Gu, X.-Y. and Li, S.-W. and Dong, Q. and Xu, X.-R. and Xu, D.-W. and Zhang, T.-J.",2020,Attenuation Characteristics and Influencing Factors of Ultrasonic Testing of Asphalt Concrete,UT,None reported,Ultrasonic testing (UT),Medium,1,multiple material types (3),3,central frequency (UT); configuration (UT); repetitions (UT); standard/reference (UT); temperature (UT); transducer type (UT); wave type (UT),0,Not described,0,attenuation,attenuation characteristics,3,numerical inverse / back-analysis,Numerical inverse analysis (FEM or other) | ToF not determined,1,2,"Generalized Maxwell model, Burgers","comparison between the test results and the numerical model, extension of the numerical results to the temperature range not tested in real conditions",1,"Useful in terms of the model - based on tests of one mixture at one temperature and Burgers' model parameters for various temperatures, FE modeled the UT test results for three different mixture types and various test temperatures.",Not reported,Testing Methodology Focus,None,No,Single highest technical score,High,"App=1, Meth=3, DA=1 (SigProc=0, PropC=0, IdM=3). Single highest technical score.",Hot Mixture Asphalt (HMA); Numerical / simulated asphalt material,Other / special / unspecified
P08,"Pezhouhan Tavassoti-Kheiry, Ilker Boz, Xuan Chen, Mansour Solaimanian",2017,"Application of Ultrasonic Pulse Velocity Testing of Asphalt Concrete 
Mixtures to Improve the Prediction Accuracy of Dynamic Modulus 
Master Curve",UT,Complex modulus (E*),"Ultrasonic testing (UT), Complex modulus (E*)",High,2,conventional-test comparison (Complex modulus (E*)); multiple material types (3),3,central frequency (UT); configuration (UT); repetitions (UT); temperature (UT); transducer type (UT); wave type (UT),0,Not described,2,|E*| / dynamic modulus,Norm of the complex modulus,1,direct analytical / empirical equation,"Analytical method based on closed-form solutions of wave equations | Probably first peak arrival (""excitation voltages and gain values were adjusted to deliver received signal levels ranging from 75% to 85%"").",2,2,"Sigmoidal, Richards sigmoidal model",Master curve construction,2,"It was demonstrated that ultrasonic pulse velocity (UPV) test can be used as a nondestructive tool to improve the accuracy of modulus master curve. Relevant underpredictions of modulus happen when abbreviated protocols are used (without low-temperature modulus determination). Even using limiting maximum moduli calculated from modified Hirsch model this is still true. The study recommended that
the results from UPV tests be used to improve the accuracy of the upper
portion of modulus master curve.","Same materials as Boz et al. (2017), where impact resonance tests are also available.",Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=0, PropC=2, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P120,"Rashetnia, Reza and Kusam, Abhilash and Yadav, Shivpal and Pour-Ghaz, Mohammad and Tayebali, Akhtarhusein",2022,Quantifying moisture damage in asphalt concrete using axisymmetric flexural vibration technique,IR,Moisture sensitivity,"Impact resonance test (IRT), Moisture sensitivity",Medium,3,conventional-test comparison (Moisture sensitivity); multiple material types (3); additives/modifiers; moisture/conditioning; cracking/damage; temperature effects (multiple temperatures),3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); repetitions (IR); temperature (IR); methodological comment (IR),1,FFT,3,"|E*| / dynamic modulus, phase angle","Norm of the complex modulus, Phase angle of the complex modulus",1,direct analytical / empirical equation,"Analytical method based on closed-form solutions of wave equations, The resonance frequency parameter (Ωo) is estimated for a given geometry using the axisymmetric flexural vibration of thick free circular plate equations (Huchinson 1979). An iterative algorithm was implemented.",2,0,None,Not reported,1,"Presentation of an application of the EQ factor, together with classical calculation of modulus and frequency ratios, to relate results of impact resonance to results of moisture damage susceptibility. It demonstrates that using simple mechanical wave propagation tests may be more cost-effective and less time-consuming than classical ITS tests.",Not reported,Application Focus,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL emphasis resolved to Application Focus,Medium,"App=3, Meth=3, DA=2 (SigProc=1, PropC=3, IdM=1). Scores tied at 3; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA); Warm Mixture Asphalt (WMA),Cylinder; Disc
P136,"Boz, I. and Tavassoti-Kheiry, P. and Solaimanian, M.",2017,The advantages of using impact resonance test in dynamic modulus master curve construction through the abbreviated test protocol,IR,Complex modulus (E*),"Impact resonance test (IRT), Complex modulus (E*)",High,2,conventional-test comparison (Complex modulus (E*)); multiple material types (3),3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); temperature (IR),1,FFT,3,"|E*| / dynamic modulus, phase angle","Norm of the complex modulus, Phase angle of the complex modulus",1,direct analytical / empirical equation,"Analytical method based on closed-form solutions of wave equations, method is not detailed in the paper. Reference is Kweon G and Kim Y (2006)",2,2,"Sigmoidal, MEPDG and Richards sigmoidal models were investigated. They focus on investigating effect of actually having measurements at -10ºC (for example with IRT)","Master curve construction, Investigating how to use an abbreviated E* testing protocol (without -10ºC), testing different fitting strategies and with and without IRT measurements.",1,"The study demonstrates that measuring low-temperature modulus using IRT for use in abbreviated E* testing protocols is cost-effective and improves mastercurve construction compared to assuming low-temperature modulus from models such as Hirsch's. The extrapolations from temperature-frequency combinations of the abbreviated test protocol,
without applying any constraints on the limiting modulus, result in significant under-prediction of low temperature dynamic modulus of asphalt concrete. Using Hirsch's model considering 1 GPa limiting modulus for the binder leads to significantly lower modulus than that obtained from low temperature and high frequency IR testing. Improved Hirsch's model works better.",Not reported,Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=1, PropC=3, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P99,"Arepalli, Uma Maheswar and Kottayi, Nivedya Madankara and Mallick, Rajib B",2019,Moisture susceptibility evaluation of Hot Mix Asphalt: combined effect of traffic and moisture,UT,"Complex modulus (E*), Moisture sensitivity, Rutting test, Moisture Induced Stress Tester (MIST) conditioning Indirect tensile strength (ITS) Model Mobile Load Simulator (MMLS3) accelerated loading test MIST effluent analysis, including gradation / fineness modulus and dissolved organic carbon (DOC)","Ultrasonic testing (UT), Complex modulus (E*), Moisture sensitivity, Rutting test, Moisture Induced Stress Tester (MIST) conditioning Indirect tensile strength (ITS) Model Mobile Load Simulator (MMLS3) accelerated loading test MIST effluent analysis, including gradation / fineness modulus and dissolved organic carbon (DOC)",High,3,"conventional-test comparison (Complex modulus (E*), Moisture sensitivity, Rutting test); multiple material types (2); RAP/RAS or recycled materials; moisture/conditioning",2,central frequency (UT); configuration (UT); standard/reference (UT); temperature (UT); transducer type (UT); methodological comment (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,1,direct analytical / empirical equation,"Analytical method based on closed-form solutions of wave equations | The V-Meter displayed travel time, but the paper does not state the picking algorithm.",1,0,None,Not reported,2,"The study demonstrates the use of UPV-derived seismic modulus as a non-destructive indicator of moisture-induced damage in asphalt mixtures. It combines UT/UPV with MIST conditioning and compares the results with conventional performance indicators, including dynamic modulus, ITS, and rutting/accelerated loading.","This paper is highly relevant for comparison with UT-based MWP studies focused on damage detection, moisture susceptibility, and stiffness degradation. Unlike studies focused only on modulus estimation, this work evaluates whether UPV/seismic modulus can capture performance-related moisture damage. Comparisons should consider that the method is condition- and mixture-dependent and should be interpreted together with conventional mechanical or performance tests.",Application Focus,Testing Methodology Focus,No,Single highest technical score,High,"App=3, Meth=2, DA=1 (SigProc=0, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder; Disc; In situ / pavement
P144,"Birgisson, B. and Roque, R. and Page, G.C.",2003,Ultrasonic Pulse Wave Velocity Test for Monitoring Changes in Hot-Mix Asphalt Mixture Integrity from Exposure to Moisture,UT,Moisture sensitivity,"Ultrasonic testing (UT), Moisture sensitivity",Medium,3,conventional-test comparison (Moisture sensitivity); multiple material types (2); RAP/RAS or recycled materials; moisture/conditioning,2,central frequency (UT); configuration (UT); repetitions (UT); transducer type (UT); wave type (UT),0,Not described,0,wave velocity,"P-waves/S-waves velocities, ""Small strain"" modulus (derived from Pwave velocity)",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations | Arrival time from waveform (using an oscilloscope for detection),1,0,None,Not reported,2,"Demonstrates that small strain modulus obtained from UPV test is sensitive to moisture-induced damage in HMA
Proposes UPV as a rapid, non-destructive monitoring tool for mixtures changes",No direct comparison with conventional mechanical tests,Application Focus,Testing Methodology Focus,No,Single highest technical score,High,"App=3, Meth=2, DA=1 (SigProc=0, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P48,"Qiu, K. and Chen, H. and Sun, W. and Sun, L. and Hong, J. and Zhao, G.",2014,Determination of mechanical properties of cement asphalt mortar via UPV method,UT,"Flexural strength test, Compressive strength test, Static modulus (Young’s modulus) test","Ultrasonic testing (UT), Flexural strength test, Compressive strength test, Static modulus (Young’s modulus) test",Low,2,"conventional-test comparison (Flexural strength test, Compressive strength test, Static modulus (Young’s modulus) test); additives/modifiers",3,central frequency (UT); configuration (UT); repetitions (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations | Direct travel time measurement with electronic delay correction,1,0,None,Not reported,2,"Establishment of empirical relationships between UPV and mechanical properties  for CAM
Demonstration that UPV can be used as a ND tool for estimating mechanical properties of cement asphalt mortar
Experimental validation of UPV correlations with conventional mechanical tests","Correlations are material-specific (CAM formulation with SBS-modified asphalt emulsion) and require recalibration for other materials
No rheological or frequency-dependent characterization included
Results are limited to static mechanical properties
Environmental effects (temperature, humidity) are not included in the model",Testing Methodology Focus,Application Focus,No,Single highest technical score,High,"App=2, Meth=3, DA=1 (SigProc=0, PropC=0, IdM=1). Single highest technical score.",Cement-treated or hybrid material,Prism / beam
P96,"Barbosa, E. and Lira, L. and Filho, M.S. and Babadopulos, L. and Soares, J. and Santos, G. and Bastos, J.",2024,Mechanical Analysis through Non-Destructive Testing of Recycled Porous Friction Course Asphalt Mixture,IR,"Complex modulus (E*), Resilience modulus","Impact resonance test (IRT), Complex modulus (E*), Resilience modulus",High,3,"conventional-test comparison (Complex modulus (E*), Resilience modulus); multiple material types (2); RAP/RAS or recycled materials; additives/modifiers",0,Test parameters not documented in the form,0,Not described,0,Not reported,Not reported,0,Not described,Not reported,0,2,2S2P1D,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",1,"RAP decreases elasticity and increases stiffness
Complex modulus tests and IRT show similar stiffness behavior supporting ND approach
RM test is inconsistent due to limited fundamental characterization and small specimen size",Not reported,Application Focus,None,No,Single highest technical score,High,"App=3, Meth=0, DA=0 (SigProc=0, PropC=0, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder; Disc
P125,"Majhi, Debanjan and Karmakar, Sandip and Roy, Tapas Kumar",2017,Reliability of Ultrasonic Pulse Velocity Method for Determining Dynamic Modulus of Asphalt Mixtures,UT,None reported,Ultrasonic testing (UT),Not reported,1,additives/modifiers,3,central frequency (UT); configuration (UT); repetitions (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),1,Described (unclassified),2,|E*| / dynamic modulus,Norm of the complex modulus,0,Not described,Not reported,1,0,None,Not reported,1,Not applicable,Should be excluded from the review,Testing Methodology Focus,None,No,Single highest technical score,High,"App=1, Meth=3, DA=1 (SigProc=1, PropC=2, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P83,"Sakhaeifar, Maryam S. and Richard Kim, Y. and Garcia Montano, Blanca E.",2017,Individual temperature based models for nondestructive evaluation of complex moduli in asphalt concrete,IR/UT,AASHTO TP62 dynamic modulus test,"Impact resonance test (IRT), Ultrasonic testing (UT), AASHTO TP62 dynamic modulus test",High,3,conventional-test comparison (AASHTO TP62 dynamic modulus test); multiple material types (2); RAP/RAS or recycled materials; QC / NDE,3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); repetitions (IR); temperature (IR); methodological comment (IR),1,FFT,3,"|E*| / dynamic modulus, phase angle, damping, storage/loss modulus, Young’s/elastic modulus, resonant frequency","Norm of the complex modulus, Phase angle of the complex modulus, storage/elastic modulus, damping ratio, resonant frequency",2,"detailed signal-based (FRF/modal/peak-based), direct analytical / empirical equation",Analytical method based on closed-form solutions of wave equations,2,2,"Sigmoidal, CAM model for binder master-curve construction; individual temperature-based predictive models, including the final selected sigmoidal p3 models.","Master curve construction, development and validation of individual temperature-based predictive models for HMA dynamic modulus.",2,The study demonstrates that impact resonance testing can be used as a rapid nondestructive method to estimate the dynamic modulus of HMA mixtures and support master-curve construction. It compares IR-derived modulus values with conventional AASHTO TP62 dynamic modulus results and develops temperature-based predictive models for dynamic modulus estimation.,"This paper is highly relevant for comparison with other MWP studies because it directly links IR measurements with complex modulus characterization, TTSP, and master-curve construction. It is especially useful for studies evaluating whether resonance-based methods can reduce or complement conventional dynamic modulus testing. Comparisons should consider that the IR approach relies on resonant-frequency identification, damping/geometry corrections, and shift-factor assumptions.",Application Focus,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL emphasis resolved to Application Focus,Medium,"App=3, Meth=3, DA=2 (SigProc=1, PropC=3, IdM=2). Scores tied at 3; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Cylinder
P152,"Rahul, M.S. and Jakati, S.S. and Sahana, K. and Shiva Kumar, G.",2024,Utilizing Chicken Feather Powder as a Bio-modifier for Asphalt Binder and Mixture Characterization,UT,"Moisture sensitivity, Rutting test, Marshall stability; Indirect tensile strength; TSR","Ultrasonic testing (UT), Moisture sensitivity, Rutting test, Marshall stability; Indirect tensile strength; TSR",Low,2,"conventional-test comparison (Moisture sensitivity, Rutting test, Marshall stability; Indirect tensile strength; TSR); multiple material types (5); additives/modifiers",3,central frequency (UT); configuration (UT); standard/reference (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),0,Not described,2,"|E*| / dynamic modulus, Young’s/elastic modulus","""elastic modulus"" and ""dynamic modulus"" (unclear how calculation is done)",1,Domain reported only,"unclear (they cite TDOT, 2006) | probably first peak arrival (no comment is made)",2,0,None,Not reported,1,The focus is to demonstrate possibility of use of a waste (CFP) in asphalt concrete. It also uses ultrasonic time-of-flight to detect changes after moisture damage and 81% of variance in tensile strength ratio is captured by UPV interpretation.,Not reported,Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=0, PropC=2, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P88,"Kim, Y.Richard and Lee, Yung-Chien",1995,Interrelationships among stiffnesses of asphalt-aggregate mixtures,IR,"Complex modulus (E*), Static creep and Relaxation modulus; Indirect tensile modulus; Backcalculated field modulus","Impact resonance test (IRT), Complex modulus (E*), Static creep and Relaxation modulus; Indirect tensile modulus; Backcalculated field modulus",High,2,"conventional-test comparison (Complex modulus (E*), Static creep and Relaxation modulus; Indirect tensile modulus; Backcalculated field modulus); multiple material types (2); field/pavement assessment",2,excitation source (IR); sensors (IR); vibration modes (IR); standard/reference (IR); temperature (IR); methodological comment (IR),1,FFT,3,"|E*| / dynamic modulus, Poisson’s ratio","Norm of the complex modulus, Poisson’s ratio",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,2,creep compliance is expressed in a generalized power law (GPL) equation,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",2,"Demonstrated for a variety of rheological tests that resonance testing is promising, that it matches classical results if carefully interpreted. Also, as a strong part of the paper, it also associated the methods with field back-calculated moduli.",Attention to strain/stress levels. At the time of the research this was not carefully looked (no non-linearity investigation during the comparison with classical tests).,Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Application Focus,Low,"App=2, Meth=2, DA=2 (SigProc=1, PropC=3, IdM=1). Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Application Focus.",Hot Mixture Asphalt (HMA),Cylinder; In situ / pavement
P141,"Larcher, N. and Takarli, M. and Angellier, N. and Petit, C. and Sebbah, H.",2015,Towards a viscoelastic mechanical characterization of asphalt materials by ultrasonic measurements,UT,Complex modulus (E*),"Ultrasonic testing (UT), Complex modulus (E*)",High,2,conventional-test comparison (Complex modulus (E*)); density/air-void evaluation,3,central frequency (UT); configuration (UT); repetitions (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),2,"Hilbert transform, FFT, zero-padding",3,"|E*| / dynamic modulus, phase angle, wave velocity","Norm of the complex modulus, Phase angle of the complex modulus, P-waves/S-waves velocities",1,direct analytical / empirical equation,"Analytical method based on closed-form solutions of wave equations | Threshold method, Hilbert transform",2,2,2S2P1D,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",1,Detailed data analysis  and signal processing combined with rheological modelling,Not reported,Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=2, PropC=3, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Prism / beam; Trapezoidal
P67,"Tavassoti-Kheiry, P. and Boz, I. and Solaimanian, M. and Qiu, T.",2018,Evaluation of nondestructiveness of resonant column testing for characterization of asphalt concrete properties,IR,"Resonant column testing (RC), including torsional resonant-frequency testing for shear modulus and damping/free-vibration testing for damping ratio","Impact resonance test (IRT), Resonant column testing (RC), including torsional resonant-frequency testing for shear modulus and damping/free-vibration testing for damping ratio",High,2,"conventional-test comparison (Resonant column testing (RC), including torsional resonant-frequency testing for shear modulus and damping/free-vibration testing for damping ratio); RAP/RAS or recycled materials",3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); repetitions (IR); temperature (IR); methodological comment (IR),2,"FFT, filtering, windowing, zero-padding",1,"Young’s/elastic modulus, resonant frequency",Young’s modulus from impact resonance testing; resonant frequencies were also measured,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,0,None,not applicable; the study did not perform rheological modeling or master-curve construction.,2,The study demonstrates the use of impact resonance testing as a nondestructive method for determining small-strain Young’s modulus of asphalt concrete specimens and for assessing whether resonant column testing affects specimen integrity. It also links IRT results with resonant column measurements of shear modulus and damping ratio across different temperatures.,"This paper is highly relevant for comparison with other MWP studies because it directly addresses resonance-based characterization of asphalt mixtures, temperature-dependent dynamic properties, and the relationship between IRT and another dynamic mechanical test. However, comparison with complex modulus studies should consider that the reported moduli are small-strain resonance-based properties rather than conventional E* master-curve values.",Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=2, PropC=1, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P72,"Fan, L. and Zheng, J. and Peng, S. and Xun, Z. and Chen, G.",2023,Experimental Investigation on the Influence of Crack Width of Asphalt Concrete on the Repair Effect of Microbially Induced Calcite Precipitation,UT,"Compressive strength, indirect tensil strength, SEM/EDS","Ultrasonic testing (UT), Compressive strength, indirect tensil strength, SEM/EDS",Low,3,"conventional-test comparison (Compressive strength, indirect tensil strength, SEM/EDS); multiple material types (5); additives/modifiers; cracking/damage",2,configuration (UT); transducer type (UT); wave type (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,1,Domain reported only,Not reported. Probably 1st peak arrival,1,0,None,Not reported,1,Proof of concept for using UPV for detecting the build-up of strength of a repair material for cracks.,Not reported,Application Focus,Testing Methodology Focus,No,Single highest technical score,High,"App=3, Meth=2, DA=1 (SigProc=0, PropC=0, IdM=1). Single highest technical score.",Cold mixture / emulsion-treated material,Cube
P56,"Grilli, V. and Grilli, A. and Graziani, A. and Jaczewski, M.",2024,Effect of strain level on the stiffness of cold recycled bituminous mixtures,UT,Indirect tensile stiffness modulus test,"Ultrasonic testing (UT), Indirect tensile stiffness modulus test",Low,2,conventional-test comparison (Indirect tensile stiffness modulus test); RAP/RAS or recycled materials; additives/modifiers,3,central frequency (UT); configuration (UT); standard/reference (UT); temperature (UT); transducer type (UT); wave type (UT),0,Not described,2,"|E*| / dynamic modulus, wave velocity","Norm of the complex modulus, P-waves/S-waves velocities",1,direct analytical / empirical equation,"Analytical method based on closed-form solutions of wave equations | unclear, probably first peak arrival.",2,0,None,Not reported,1,Paper identifies that indirect tension tests can produce damage even at deformations considered small for this test.,Not reported,Testing Methodology Focus,Data Analysis Type,No,Single highest technical score,High,"App=2, Meth=3, DA=2 (SigProc=0, PropC=2, IdM=1). Single highest technical score.",Cement-treated or hybrid material,Cylinder
P24,"Dareyni, Mohammad and Vahid Pourjafar, Seyed and Mohammadzadeh Moghaddam, Abolfazl",2023,Cationic asphalt emulsion as an additive of RCC Pavement: Exploring for Mode-I fracture behavior and dynamic modulus properties,UT,"Complex modulus (E*), SCB fracture test","Ultrasonic testing (UT), Complex modulus (E*), SCB fracture test",Low,2,"conventional-test comparison (Complex modulus (E*), SCB fracture test); multiple material types (5); additives/modifiers",3,central frequency (UT); configuration (UT); standard/reference (UT); temperature (UT); transducer type (UT); wave type (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,1,Domain reported only,likely 1st peak (more a concrete paper with bitumen as modifier),1,1,No particular rheological modelling. Only correlation between |E*| and UPV.,Not reported,1,Practical application of emulsion as a modifier for Portland cement roller-compacted concrete. Set of regression models (but not generalized) for predicting fracture and stiffness properties based on UPV measurements.,Not reported,Testing Methodology Focus,Application Focus,No,Single highest technical score,High,"App=2, Meth=3, DA=1 (SigProc=0, PropC=0, IdM=1). Single highest technical score.",Cement-treated or hybrid material,Cylinder
P40,"Cheng, Y.-C. and Zhang, P. and Jiao, Y.-B. and Wang, Y.-D. and Tao, J.-L.",2013,Damage simulation and ultrasonic detection of asphalt mixture under the coupling effects of water-temperature-radiation,UT,"Moisture sensitivity, Tests after Water-Temperature-Radiation (W-T-R) cycles (up to 12).","Ultrasonic testing (UT), Moisture sensitivity, Tests after Water-Temperature-Radiation (W-T-R) cycles (up to 12).",Low,3,"conventional-test comparison (Moisture sensitivity, Tests after Water-Temperature-Radiation (W-T-R) cycles (up to 12).); multiple material types (5); cracking/damage; temperature effects (multiple temperatures)",2,configuration (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),1,ToF picking,0,wave velocity,P-waves/S-waves velocities,1,Domain reported only,Analysis stopped at wave velocity. | Peak arrival,1,0,None,Not reported,2,demonstration of a relationship between ultrasound velocity with a damage indicator (splitting tensile ratio after Water-Temperature-Radiation cycles).,attention to the conditions of each test results (conditions are sometimes confusing in this paper).,Application Focus,Testing Methodology Focus,No,Single highest technical score,High,"App=3, Meth=2, DA=1 (SigProc=1, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder
P145,"Jinrong, W. and Kai, Q. and Dongdong, M.",2014,Ultrasonic test in asphalt concrete under freeze-thaw and corrosion action,UT,Indirect tensile strength,"Ultrasonic testing (UT), Indirect tensile strength",Low,2,conventional-test comparison (Indirect tensile strength); moisture/conditioning,2,configuration (UT); repetitions (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),0,Not described,0,wave velocity,P-waves/S-waves velocities,1,Domain reported only,Not reported,1,0,None,Not reported,2,Shows an application case to use UT to study the F/T resistance of bituminous mixtures.,"This paper is a low quality paper, it is poorly written, a lot of information is missing in the methodology and the analysis sections.",Testing Methodology Focus,Application Focus,Yes,Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus,Low,"App=2, Meth=2, DA=1 (SigProc=0, PropC=0, IdM=1). Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus.",Hot Mixture Asphalt (HMA),Disc
P81,"Tavassoti, P. and Ameen, T.H. and Baaj, H. and Cascante, G.",2022,Improving the Modulus Master Curve of Bituminous Mixes Using Ultrasonic Measurements,UT,Complex modulus (E*),"Ultrasonic testing (UT), Complex modulus (E*)",High,1,conventional-test comparison (Complex modulus (E*)),2,central frequency (UT); configuration (UT); temperature (UT); transducer type (UT); wave type (UT); methodological comment (UT),0,Not described,2,"|E*| / dynamic modulus, wave velocity","Norm of the complex modulus, P-waves/S-waves velocities",1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,2,The generalized non-symmetric Richards sigmoid function,Master curve construction,1,It shows an impactful application of UT to improve the characterization of bituminous mixtures at high frequencies/low temperatures.,Not reported,Testing Methodology Focus,Data Analysis Type,Yes,Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus,Low,"App=1, Meth=2, DA=2 (SigProc=0, PropC=2, IdM=1). Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus.",Hot Mixture Asphalt (HMA),Cylinder
P51,"Mahdavi, Alireza and Moghaddam, Abolfazl Mohammadzadeh and Dareyni, Mohammad",2021,Durability and Mechanical Properties of Roller Compacted Concrete Containing Coarse Reclaimed Asphalt Pavement,UT,None reported,Ultrasonic testing (UT),Not reported,2,multiple material types (5); RAP/RAS or recycled materials; durability,2,configuration (UT); standard/reference (UT); wave type (UT); methodological comment (UT),0,Not described,0,wave velocity,"P-waves/S-waves velocities, correlations with compressive strength, splitting tensile strength, static modulus of elasticity, and flexural strength",1,direct analytical / empirical equation,empirical correlation/regression between UPV and mechanical properties,1,0,None,Not reported,2,"The study demonstrates the use of ultrasonic pulse velocity (UPV) as a non-destructive indicator for evaluating RAP-containing roller compacted concrete, with correlations to compressive strength, splitting tensile strength, static modulus of elasticity, and flexural strength.","This paper is useful for comparison with UT studies using UPV as a strength/stiffness indicator and for evaluating RAP-containing cement-treated or hybrid materials. It is less directly comparable with asphalt MWP studies that derive complex modulus, phase angle, frequency-dependent properties, or rheological master curves.",Application Focus,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL emphasis resolved to Application Focus,Medium,"App=2, Meth=2, DA=1 (SigProc=0, PropC=0, IdM=1). Scores tied at 2; ABK/ABL emphasis resolved to Application Focus.",Cement-treated or hybrid material,Cube; Cylinder; Prism / beam
